,500,600,700,800,900
insertion,0.0174752076,0.0255413055,0.0339289506,0.0444876353,0.0564267635
quickmid,0.0001229445,0.0001999537,0.0002597968,0.0002005895,0.0002552668
quicktop,0.0014217695,0.0017429193,0.0021499793,0.0024952888,0.0029674371
