,300,600,900,1200,1500,1800,2100,2400,2700,3000
quickmid,0.0016190211,0.0039261182,0.0068074862,0.0033360322,0.0042716662,0.0052675406,0.0061449210,0.0071828365,0.0081914266,0.0091784000
quicktop,0.0021951199,0.0052770774,0.0063378016,0.0039566358,0.0052522024,0.0062819322,0.0074650447,0.0086581707,0.0101591746,0.0111327966
insertion,0.0155376593,0.0246821245,0.0566373666,0.1017983754,0.1617406209,0.2340258757,0.3153598309,0.4137904644,0.5263687770,0.6536575953
