,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000
quickmid,0.0058892568,0.0092265606,0.0090728601,0.0124129454,0.0159099102,0.0194300016,0.0225853125,0.0260562102,0.0303223133,0.0342242718,0.0372681618,0.0410545667,0.0454468727,0.0481166840,0.0542355378,0.0567961534,0.0603412787,0.0648738543,0.0698532263,0.0713528792
merge,0.0051818689,0.0109531085,0.0172414780,0.0235307217,0.0302090645,0.0368308226,0.0438017845,0.0504328410,0.0578842163,0.0649673939,0.0720023314,0.0788034598,0.0857142607,0.0927893321,0.1001588504,0.1072006226,0.1149034500,0.1236302058,0.1306945483,0.1375463009
heap,0.0074083010,0.0162959099,0.0260419051,0.0357228120,0.0458792051,0.0563575427,0.0671254794,0.0774630706,0.0887993177,0.1002734502,0.1112751961,0.1218287150,0.1333437761,0.1457344691,0.1564578215,0.1677895387,0.1796015898,0.1906487147,0.2033080260,0.2146764596
