,300,600,900,1200,1500,1800,2100,2400,2700,3000
insertion,0.0002597968,0.0004913807,0.0007415613,0.0009870529,0.0012446245,0.0014900366,0.0017019113,0.0019427141,0.0021978219,0.0020960172
quickmid,0.0010867119,0.0023439725,0.0037070115,0.0050741037,0.0039267540,0.0026172002,0.0029863516,0.0036177635,0.0042469501,0.0048600038
quicktop,0.0168213844,0.0674779415,0.1517109076,0.2696721554,0.4283808072,0.6199777126,0.8443823655,1.1060174306,1.4148355325,1.7311900457
