,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000
counting,0.0015021165,0.0031001568,0.0045718352,0.0052997271,0.0025954247,0.0031125546,0.0036424796,0.0041666826,0.0047381719,0.0052735806,0.0058187644,0.0063540936,0.0068991979,0.0074102084,0.0078542233,0.0083327293,0.0088590781,0.0093924205,0.0099613667,0.0105393728
quickmid,0.0079329014,0.0102372169,0.0087018808,0.0119965076,0.0155330499,0.0190150738,0.0224362214,0.0258875688,0.0293244521,0.0328806241,0.0362950961,0.0400340557,0.0446523031,0.0474577745,0.0509070555,0.0549598535,0.0591912270,0.0630024274,0.0669466654,0.0707025528
