,7,8,9,10,11,12,13,14,15,16,17
PD,0.0000855923,0.0001652241,0.0002717972,0.0004324913,0.0008702278,0.0016667843,0.0033957958,0.0069732666,0.0139181614,0.0268280506,0.0510592461
BF1,0.0003194809,0.0005996227,0.0011968613,0.0024764538,0.0052125454,0.0112049580,0.0224599838,0.0505986214,0.1076622009,0.2233555317,0.4649906158
BF2,0.0003180504,0.0006151199,0.0013241768,0.0024304390,0.0054018497,0.0127410889,0.0228340626,0.0509114265,0.1191902161,0.2165284157,0.4503114223
GH4,0.0000221729,0.0000166893,0.0000302792,0.0000281334,0.0000319481,0.0000410080,0.0000386238,0.0000605583,0.0000691414,0.0000715256,0.0000519753
