,7,8,9,10,11,12,13,14,15,16,17
PD,0.0000286102,0.0000500679,0.0000646114,0.0000905991,0.0001568794,0.0004026890,0.0004928112,0.0012242794,0.0020775795,0.0028584003,0.0047264099
BF1,0.0002129078,0.0004222393,0.0008912086,0.0018417835,0.0037472248,0.0079314709,0.0163898468,0.0352869034,0.0737347603,0.1571297646,0.3345639706
BF2,0.0000922680,0.0001754761,0.0003304482,0.0007412434,0.0009012222,0.0021624565,0.0039050579,0.0097768307,0.0151076317,0.0299804211,0.0415596962
GH4,0.0000159740,0.0000154972,0.0000164509,0.0000166893,0.0000226498,0.0000233650,0.0000257492,0.0000398159,0.0000486374,0.0000505447,0.0000507832
PD_2,0.0000865459,0.0001778603,0.0003509521,0.0006811619,0.0014505386,0.0028913021,0.0059039593,0.0118374825,0.0233592987,0.0469183922,0.0958225727
BF1_2,0.0003457069,0.0006999969,0.0014455318,0.0030314922,0.0066034794,0.0136902332,0.0314507484,0.0612740517,0.1293561459,0.2680411339,0.5700860023
BF2_2,0.0004355907,0.0009322166,0.0020027161,0.0043241978,0.0091960430,0.0196225643,0.0422492027,0.0890867710,0.1796014309,0.3808853626,0.8049964905
GH4_2,0.0000138283,0.0000162125,0.0000162125,0.0000197887,0.0000190735,0.0000293255,0.0000305176,0.0000429153,0.0000495911,0.0000512600,0.0000529289
