,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000
bubble,0.0003124078,0.0006266435,0.0009236336,0.0012109280,0.0015263557,0.0018450419,0.0020926793,0.0024082661,0.0027232965,0.0030714671,0.0033054352,0.0036995411,0.0039699078,0.0042243799,0.0044923623,0.0049130917,0.0052249432,0.0055359999,0.0058755080,0.0061782996
insertion,0.0005658468,0.0008836587,0.0013463497,0.0017628670,0.0021735827,0.0026577314,0.0031030973,0.0035387675,0.0039691130,0.0044071674,0.0048216979,0.0052556992,0.0057089329,0.0061687628,0.0065744718,0.0070586999,0.0074489117,0.0079267025,0.0083275636,0.0086554686
counting,0.0013184547,0.0024914742,0.0037480990,0.0050311089,0.0061570009,0.0073365370,0.0087683996,0.0099302928,0.0110845566,0.0123329163,0.0136094093,0.0147937934,0.0161250432,0.0175761382,0.0185862382,0.0199722449,0.0213411649,0.0223458608,0.0236282349,0.0250081221
quickmid,0.0023756027,0.0048569838,0.0084347725,0.0105198224,0.0143377781,0.0181649526,0.0201226075,0.0221258005,0.0258429845,0.0296405156,0.0339276791,0.0380366643,0.0409091314,0.0424891313,0.0447394848,0.0469691753,0.0505072276,0.0546616713,0.0587549210,0.0632495880
merge,0.0073850950,0.0148030122,0.0229148865,0.0313955148,0.0401237011,0.0489536126,0.0576047897,0.0669309298,0.0761437416,0.0847828388,0.0940901438,0.1036113103,0.1130855878,0.1218618552,0.1315770944,0.1414739291,0.1512694359,0.1619752248,0.1708223820,0.1805682977
heap,0.0137596925,0.0297548771,0.0476381779,0.0659557978,0.0831975142,0.1030784448,0.1188147863,0.1358407338,0.1546637217,0.1749482155,0.1940210660,0.2142132918,0.2334597905,0.2546102206,0.2737675508,0.2926272551,0.3140049775,0.3356255690,0.3490041097,0.2700166702
selection,0.1416660945,0.5685644945,1.2700491746,1.9538043340,2.1295978228,3.0693146388,4.1474296252,5.3788876534,6.8200170199,8.4583380222,10.2261465391,12.1600219409,14.2324602604,16.5969578425,19.1396589279,21.8702190717,24.6106043657,27.6940894127,31.0958188375,34.1502112548
