,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000
counting,0.0009887218,0.0013039907,0.0020207564,0.0027359327,0.0034642220,0.0041672389,0.0048209031,0.0054887136,0.0061910947,0.0068666140,0.0074237982,0.0081631343,0.0089020729,0.0095549424,0.0101028283,0.0108442307,0.0116475423,0.0123429298,0.0129753749,0.0136662324
quickmid,0.0022789637,0.0033148130,0.0056644281,0.0070644220,0.0094641844,0.0118929545,0.0133999983,0.0148771604,0.0171097120,0.0196816921,0.0224436919,0.0250473817,0.0265882810,0.0279037158,0.0291833083,0.0304380258,0.0325123469,0.0351692041,0.0381235282,0.0404001872
merge,0.0048167706,0.0094152292,0.0146391392,0.0196549098,0.0253920555,0.0307112535,0.0364569028,0.0410292943,0.0470511119,0.0529693762,0.0587352117,0.0646893183,0.0698622862,0.0761541526,0.0814774036,0.0871390502,0.0934938590,0.1005685329,0.1070939700,0.1129547755
heap,0.0073622068,0.0164302985,0.0261135896,0.0357848008,0.0456818740,0.0555340449,0.0652830601,0.0758190950,0.0870645046,0.0973726114,0.1084516048,0.1181511879,0.1290046374,0.1405640443,0.1519786517,0.1626983484,0.1728525162,0.1866517067,0.1947515806,0.2053742409
selection,0.0895152092,0.3453973929,0.7714889844,1.3741952578,2.1377839247,3.1033949852,4.2289725939,5.5297137896,7.0238777796,8.6495287418,10.5280737082,12.5409662724,14.6536828677,17.2810388406,19.5734318892,22.2770462831,25.3109834989,28.2680632273,31.5663563410,34.8947393894
insertion,0.1477830410,0.5988892714,1.3488266468,2.4149718285,3.6754862467,5.3195819060,7.2178548177,9.5606404146,12.1697065036,15.0841505527,18.1550673644,21.7123979727,25.4801758130,29.6939272881,33.7767942746,38.4751240412,43.1695171992,48.1199414730,53.4916311900,59.2750349045
bubble,0.3252880573,1.3110261758,2.9598259926,5.3173804283,8.1817992528,11.8586466312,16.2363299529,21.2003227870,27.1209784349,33.1398142974,40.4265925884,47.9129358927,56.1859880288,64.5525352160,73.8322923183,83.4903291066,94.1884055138,105.5547189713,117.0112709204,130.1771647135
