,7,15,31,63,127,255,511,1023,2047
Creation_B,0.0000338554,0.0000486374,0.0000839233,0.0002140999,0.0004391670,0.0009417534,0.0020196438,0.0047369003,0.0102233887
Search_A,0.0000295639,0.0000524521,0.0001502037,0.0005991459,0.0018420219,0.0068194866,0.0260291100,0.1027050018,0.3989419937
Search_B,0.0000150204,0.0000317097,0.0000722408,0.0001730919,0.0004563332,0.0009756088,0.0023334026,0.0060122013,0.0118765831
Creation_Tree_A,0.0000250340,0.0000424385,0.0000653267,0.0001466274,0.0011692047,0.0006940365,0.0016524792,0.0037639141,0.0079624653
Creation_Tree_B,0.0000102520,0.0000286102,0.0000529289,0.0001101494,0.0002460480,0.0005521774,0.0011477470,0.0025849342,0.0056157112
Search_Tree_A,0.0000140667,0.0000336170,0.0000569820,0.0001256466,0.0002515316,0.0005960464,0.0016665459,0.0030255318,0.0067214966
Search_Tree_B,0.0000102520,0.0000362396,0.0000443459,0.0000984669,0.0001986027,0.0004537106,0.0010485649,0.0023415089,0.0050458908
