,1023,4095,8191
Creation_B,0.0049059391,0.0224835873,0.0475161076
Search_A,0.0675723553,1.0703732967,4.2987835407
Search_B,0.0052962303,0.0249745846,0.0551960468
Creation_Tree_A,0.0045852661,0.0164895058,0.0349013805
Creation_Tree_B,0.0024552345,0.0118823051,0.0440554619
Search_Tree_A,0.0032067299,0.0156211853,0.0331265926
Search_Tree_B,0.0022699833,0.0108227730,0.0252773762
